minimum_nights,calculated_host_listings_count,neighbourhood_group,room_type,price
0.3571428571428571,0.006211180124223604,0.5,0.5,138
0.07142857142857142,1.0,0.25,0.5,245
0.07142857142857142,1.0,0.25,0.5,470
0.0,0.006211180124223604,0.5,0.0,55
0.07142857142857142,0.0031055900621118036,0.5,0.0,65
0.0,0.07763975155279502,0.25,0.0,199
0.0,0.015527950310559004,0.5,0.0,55
0.0,0.006211180124223604,0.5,0.5,175
0.07142857142857142,0.018633540372670804,0.25,0.0,590
0.0,0.0031055900621118036,0.5,0.0,45
0.0,0.0,0.5,0.0,55
0.0,0.015527950310559004,0.25,0.0,166
0.07142857142857142,0.006211180124223604,0.0,0.0,110
0.07142857142857142,0.0,0.25,0.5,595
0.0,0.0031055900621118036,0.25,0.0,99
0.07142857142857142,0.018633540372670804,0.25,0.0,69
0.4285714285714286,0.0,0.5,0.0,65
0.0,0.0,0.25,0.0,119
0.0,0.009316770186335404,0.5,0.0,129
0.07142857142857142,1.0,0.25,0.5,231
0.0,0.012422360248447204,0.5,0.0,50
0.0,0.07763975155279502,0.25,0.0,299
0.0,0.037267080745341616,0.25,0.5,137
0.14285714285714285,0.0,0.0,0.0,60
0.0,0.012422360248447204,0.25,1.0,60
0.07142857142857142,0.015527950310559004,0.0,0.0,55
0.0,0.037267080745341616,0.0,0.0,119
0.0,0.0,0.25,0.5,165
0.07142857142857142,0.0031055900621118036,0.25,0.0,90
1.0,0.02173913043478261,0.25,0.0,70
0.07142857142857142,1.0,0.25,0.5,201
0.07142857142857142,0.0,0.0,1.0,35
0.07142857142857142,0.0,0.25,0.0,70
0.0,0.02173913043478261,0.0,0.0,52
0.0,0.037267080745341616,0.25,0.5,107
0.0,0.009316770186335404,0.25,0.5,309
0.07142857142857142,1.0,0.25,0.5,201
0.0,0.06521739130434782,0.0,0.0,55
0.14285714285714285,0.009316770186335404,0.25,0.5,380
0.0,0.0031055900621118036,0.25,1.0,70
0.07142857142857142,0.006211180124223604,0.0,0.0,65
0.0,0.0031055900621118036,0.0,0.0,49
0.0,0.08695652173913043,0.0,0.0,89
0.07142857142857142,1.0,0.25,0.5,240
0.0,0.027950310559006212,0.25,0.0,450
0.0,0.015527950310559004,0.5,0.5,499
0.07142857142857142,0.0031055900621118036,0.0,0.0,81
0.14285714285714285,0.0031055900621118036,0.25,1.0,65
0.0,0.0,0.0,0.0,51
0.0,0.07763975155279502,0.25,0.0,199
0.0,0.02173913043478261,0.25,0.0,85
0.0,0.0,0.5,0.0,45
0.07142857142857142,0.0031055900621118036,0.5,1.0,26
0.0,0.0,0.0,0.0,35
0.07142857142857142,1.0,0.25,0.5,221
0.0,0.0,0.0,0.5,129
0.0,0.006211180124223604,1.0,1.0,28
0.14285714285714285,0.0031055900621118036,0.25,1.0,65
0.07142857142857142,0.02173913043478261,0.25,0.0,749
0.07142857142857142,0.018633540372670804,0.25,0.0,233
0.14285714285714285,0.0031055900621118036,0.5,0.5,140
0.3571428571428571,0.009316770186335404,0.0,0.0,58
0.0,0.0,0.25,1.0,80
0.14285714285714285,0.02173913043478261,0.5,1.0,30
0.0,0.012422360248447204,0.5,0.0,50
